sira,uc_adi,eslesen_uc_adi_db,stock_code,tarih_saat,tezgah,kisi,is_emri,siparis_no,work_order_id,status,ct_match_type
1,GEPI 1.50-0.10 IC908 ISCAR,GEPI 1.50-0.10 IC908 ISCAR,GEPI 1.50-0.100604,,,,,,,found_no_wear,exact_name
2,GEPI 2.00-0.10 IC908 ISCAR,GEPI 2.00-0.10 IC908 ISCAR,GEPI 2.00-0.100604,,,,,,,found_no_wear,exact_name
3,GEPI 2.00-1.00 IC908 ISCAR,GEPI 2.00-1.00 IC908 ISCAR,GEPI 2.00-1.000604,,,,,,,found_no_wear,exact_name
4,GEPI 2.50-0.20 IC908 ISCAR,GEPI 2.50-0.20 IC908 ISCAR,GEPI 2.50-0.20604,,,,,,,found_no_wear,exact_name
5,GIPI 1.96-0.15 IC908 ISCAR,GIPI 1.96-0.15 IC908 ISCAR,GIPI 1.96-0.15060004,,,,,,,found_no_wear,exact_name
6,GIPI 2.22-0.10 IC908 ISCAR,GIPI 2.22-0.10 IC908 ISCAR,GIPI 2.22-0.10060004,Wed Mar 25 2026 16:08:00 GMT+0300 (GMT+03:00),CT-25,Deniz Türk,148677,39499,,found_with_wear,exact_name
7,GIPI 3.00-0.40 IC908 ISCAR,GIPI 3.00-0.40 IC908 ISCAR,GIPI 3.00-0.40060004,,,,,,,found_no_wear,exact_name
8,GIPI 3.18-0.20 IC908 ISCAR,GIPI 3.18-0.20 IC908 ISCAR,GIPI 3.18-0.20060004,,,,,,,found_no_wear,exact_name
9,"GIP 1,57-0,79 IC908 ISCAR","GIP 1,57-0,79 IC908 ISCAR",GIP 1.57-0.79060004,,,,,,,found_no_wear,exact_name
10,GIP 1.00-0.50 IC908 ISCAR,GIP 1.00-0.50 IC908 ISCAR,GIP 1.00-0.50060004,,,,,,,found_no_wear,exact_name
11,GIP 1.96-0.15 IC908 ISCAR,GIP 1.96-0.15 IC908 ISCAR,GIP 1.96-0.15060004,,,,,,,found_no_wear,exact_name
12,GIP 2.00-1.00 IC908 ISCAR,GIP 2.00-1.00 IC908 ISCAR,GIP 2.00-1.00060004,,,,,,,found_no_wear,exact_name
13,GIP 2.22-0.15 IC908 ISCAR,GIP 2.22-0.15 IC908 ISCAR,GIP 2.22-0.15060004,Wed Apr 01 2026 02:35:00 GMT+0300 (GMT+03:00),CT-25,Deniz Türk,151344,40749,,found_with_wear,exact_name
14,GIP 3.00-0.20 IC908 ISCAR,,,,,,,,,not_found_in_cuttingtools,
15,GIP 3.00-0.40 IC908 ISCAR,GIP 3.00-0.40 IC908 ISCAR,GIP 3.00-0.40060006,,,,,,,found_no_wear,exact_name
16,GIP 3.00E-1.50 IC908 ISCAR,GIP 3.00E-1.50 IC908 ISCAR,GIP 3.00-1.50060004,,,,,,,found_no_wear,exact_name
17,GIP 3.18-0.20 IC908 ISCAR,GIP 3.18-0.20 IC908 ISCAR,GIP 3.18-0.20060004,,,,,,,found_no_wear,exact_name
18,GIP 4.00-2.00 IC908 ISCAR,GIP 4.00-2.00 IC908 ISCAR,GIP 4.00-2.00060004,,,,,,,found_no_wear,exact_name
19,GIPA 3.00-0.20 IC20 ISCAR,GIPA 3.00-0.20 IC20 ISCAR,GIPA 3.00-0.20060005,,,,,,,found_no_wear,exact_name
20,CCMT 060201 SM IC907 ISCAR,CCMT 060201 SM IC907 ISCAR,CC0601061118,,,,,,,found_no_wear,exact_name
21,CCMT 060202 HQ CA5525 CERATYP KYOCERA,,,,,,,,,not_found_in_cuttingtools,
22,CCMT 060202 PF IC907 ISCAR,CCMT 060202 PF IC907 ISCAR,CC0602062818,,,,,,,found_no_wear,exact_name
23,CCMT 060204 FG PV3010 TEAGUTEC,CCMT 060204 FG PV3010 TEAGUTEC,CC0604150208,,,,,,,found_no_wear,exact_name
24,CCMT 060204 HQ CA5525 CERATYP KYOCERA,,,,,,,,,not_found_in_cuttingtools,
25,CCMT 060204 SM IC907 ISCAR,CCMT 060204 SM IC907 ISCAR,CC0604061118,Mon Mar 23 2026 12:11:00 GMT+0300 (GMT+03:00),CT-21,Deniz Türk,149926,41570,,found_with_wear,exact_name
26,CCMT 09T304 HQ CA5525 CERATIP KYOCERA,CCMT 09T304 HQ CA5525 CERATIP KYOCERA,CC0904090102,,,,,,,found_no_wear,exact_name
