sira,uc_adi,tarih_saat,tezgah,kisi,is_emri,siparis_no,match_type,matched_stock_name
1,GEPI 1.50-0.10 IC908 ISCAR,,,,,,not_found,
2,GEPI 2.00-0.10 IC908 ISCAR,,,,,,not_found,
3,GEPI 2.00-1.00 IC908 ISCAR,,,,,,not_found,
4,GEPI 2.50-0.20 IC908 ISCAR,,,,,,not_found,
5,GIPI 1.96-0.15 IC908 ISCAR,,,,,,not_found,
6,GIPI 2.22-0.10 IC908 ISCAR,Wed Mar 25 2026 16:08:00 GMT+0300 (GMT+03:00),CT-25,,148677,39499,exact,GIPI 2.22-0.10 IC908 ISCAR
7,GIPI 3.00-0.40 IC908 ISCAR,,,,,,not_found,
8,GIPI 3.18-0.20 IC908 ISCAR,,,,,,not_found,
9,"GIP 1,57-0,79 IC908 ISCAR",,,,,,not_found,
10,GIP 1.00-0.50 IC908 ISCAR,,,,,,not_found,
11,GIP 1.96-0.15 IC908 ISCAR,,,,,,not_found,
12,GIP 2.00-1.00 IC908 ISCAR,,,,,,not_found,
13,GIP 2.22-0.15 IC908 ISCAR,Wed Apr 01 2026 02:35:00 GMT+0300 (GMT+03:00),CT-25,,151344,40749,exact,GIP 2.22-0.15 IC908 ISCAR
14,GIP 3.00-0.20 IC908 ISCAR,,,,,,not_found,
15,GIP 3.00-0.40 IC908 ISCAR,,,,,,not_found,
16,GIP 3.00E-1.50 IC908 ISCAR,,,,,,not_found,
17,GIP 3.18-0.20 IC908 ISCAR,,,,,,not_found,
18,GIP 4.00-2.00 IC908 ISCAR,,,,,,not_found,
19,GIPA 3.00-0.20 IC20 ISCAR,,,,,,not_found,
20,CCMT 060201 SM IC907 ISCAR,,,,,,not_found,
21,CCMT 060202 HQ CA5525 CERATYP KYOCERA,,,,,,not_found,
22,CCMT 060202 PF IC907 ISCAR,,,,,,not_found,
23,CCMT 060204 FG PV3010 TEAGUTEC,,,,,,not_found,
24,CCMT 060204 HQ CA5525 CERATYP KYOCERA,,,,,,not_found,
25,CCMT 060204 SM IC907 ISCAR,Mon Mar 23 2026 12:11:00 GMT+0300 (GMT+03:00),CT-21,,149926,41570,exact,CCMT 060204 SM IC907 ISCAR
26,CCMT 09T304 HQ CA5525 CERATIP KYOCERA,,,,,,not_found,
27,CCGT 120404 ALU AK10 ARNO,,,,,,not_found,
28,CCGT 060201 GF PE1025,,,,,,not_found,
29,CCGT 09T304,,,,,,not_found,
30,CNGA 120408 HS BNC300 SUMITOMO,,,,,,not_found,
31,DCGT 070204 FN-ALU AK10 ARNO,,,,,,not_found,
32,DCMT 070202 HQ CA5525 KYOCERA,,,,,,not_found,
33,DCMT 070202 SM IC907 ISCAR,,,,,,not_found,
34,DCMT 070204 F1 TP1501 SECO,,,,,,not_found,
35,DCMT 070204 HQ CA5525 KYOCERA,,,,,,not_found,
36,DCMT 070204 SM IC907 ISCAR,,,,,,not_found,
37,DCMT 070208 HQ CA5525 KYOCERA,,,,,,not_found,
38,DCMT 11T302 FA CT3000 TAEGUTEC 04 DENEME,,,,,,not_found,
39,DCGT 11T304 FN-ALU AK10 ARNO,,,,,,not_found,
40,DCGT 11T308 FN-ALU AK10 ARNO,,,,,,not_found,
41,DCGW 11T304 BNC300 SUMITOMO,,,,,,not_found,
42,DCGW 11T308 HSNC2 BNC200 SUMITOMO,,,,,,not_found,
43,DCMT 11T302 HQ CA5525 KYOCERA,,,,,,not_found,
44,DCMT 11T302 HQ TN60 KYOCERA,,,,,,not_found,
45,DCMT 11T302 SM IC907 ISCAR,,,,,,not_found,
46,DCMT 11T304 FG CT3000 TEAGUTEC DENEME,,,,,,not_found,
47,DCMT 11T304 HQ CA5525 KYOCERA,,,,,,not_found,
48,DCMT 11T304 HQ TN60 CERATYP,,,,,,not_found,
49,DCMT 11T304 SM IC907 ISCAR,,,,,,not_found,
50,DCMT 11T308 PF IC907 ISCAR,,,,,,not_found,
51,DCMT 11T308 HQ CA125P KYOCERA,,,,,,not_found,
52,DCMT 11T308 HQ CA5525 KYOCERA,,,,,,not_found,
53,DCMT 11T308 SL1 TC2125 TITANS,Mon Feb 23 2026 14:14:00 GMT+0300 (GMT+03:00),CT-26,,148181,40810,exact,DCMT 11T308 SL1 TC2125 TITANS
54,DNMG 110402 HQ CA5525 CERATYP,,,,,,not_found,
55,DNMG 110402 HQ TN620 KYOCERA,,,,,,not_found,
56,DNMG 110404 GP TN60 CERATYP,,,,,,not_found,
57,DNMG 110404 HQ CA5525 KYOCERA,,,,,,not_found,
58,DNMG 110408 GS CA5525 KYOCERA,,,,,,not_found,
59,DNMG 110408 M3M IC830 ISCAR,,,,,,not_found,
60,DNMG 110408 M3M IC6025 ISCAR BU IC830 DAN DAHA İYİ,,,,,,not_found,
61,DNMG 150604 MP NC3215 KORLOY,,,,,,not_found,
62,DNMG 150608 GT CA5525 CERATIP,,,,,,not_found,
63,DNMG 150608 R-ST CA5525 CERATYP,,,,,,not_found,
64,DGN 1402 IC908 ISCAR,,,,,,not_found,
65,DGN 1402] IC354 ISCAR,,,,,,not_found,
66,DGN 2202 LF IC908 ISCAR,,,,,,not_found,
67,DGR 2200 JS-15D IC908 ISCAR,,,,,,not_found,
68,GDM 1316N-003 PF PR1535 KYOCERA,,,,,,not_found,
69,GDM 3020N-040 GM PR1225 KYOCERA,,,,,,not_found,
70,GDM2020-020 PMPR1535 KYOCERA,,,,,,not_found,
71,GDM2020N -020 PM PR1225 CERATYP,,,,,,not_found,
72,GDM2420-020 PMPR1535 KYOCERA,,,,,,not_found,
73,GDM2420N -020 PM PR1225 CERATYP,,,,,,not_found,
74,GDM2420N-020GM TN90 CERATYP,,,,,,not_found,
75,GDM3020-020 PMPR1535 KYOCERA,,,,,,not_found,
76,GDMS 3020N-040 GM PR1535 KYOCERA,,,,,,not_found,
77,GMM 2020 TK PR930 KYOCERA,,,,,,not_found,
78,GMM 2020R-MT-15D KYOCERA,,,,,,not_found,
79,PENTA 24 R303-172786 IC908,,,,,,not_found,
80,PENTA 24N 050 J 000 IC908 ISCAR,,,,,,not_found,
81,PENTA 24N 100 J 0.5 IC908 ISCAR,,,,,,not_found,
82,PENTA 24N 120 J000 IC908 ISCAR,,,,,,not_found,
83,PENTA 24N 200 J1.0 IC908 ISCAR,,,,,,not_found,
84,PENTA 24N 300 J150 IC908 ISCAR,,,,,,not_found,
85,PENTA 24R 100315D IC1008 ISCAR,,,,,,not_found,
86,PENTA 24R183-17276 IC908 ISCAR,,,,,,not_found,
87,SNMG 120408 MM5 WMP20S WALTER,,,,,,not_found,
88,SNMG 120408 TF IC907 ISCAR KALMADI WALTERE GEÇTİ,,,,,,not_found,
89,"TCMT 090204 HQ PV7025 KYOCERA TEDARİĞİNDE SIKINTI, HAVŞA TAKIMINA TAKMAK İÇİN BÜTÜN TCMT LER İÇİN",,,,,,not_found,
90,TNMG 160402 GP CA5525 KYOCERA,,,,,,not_found,
91,TNMG 160404 HQ CA5525 CERATYP,,,,,,not_found,
92,TNMG 160404 TF IC907 ISCAR,,,,,,not_found,
